group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
B,PRESENT,max,natural,2,bitwise,proposed,1.461608652044777,1.4567890717179162
B,PRESENT,max,natural,4,bitwise,proposed,1.430625700234895,1.420833728730821
B,PRESENT,max,natural,8,bitwise,proposed,1.5218714825446962,1.5167108616017366
B,PRESENT,max,natural,16,bitwise,proposed,1.4479773156094673,1.4451154488252345
B,PRESENT,max,natural,32,bitwise,proposed,1.4877098055342128,1.4826485716386435
B,PRESENT,max,natural,64,bitwise,proposed,1.4734489546272926,1.4606617720460209
B,PRESENT,max,natural,1,peigen,proposed,1.6590698334378446,1.6478654183586054
B,PRESENT,min,natural,1,bitwise,proposed,1.1888316963086902,1.1871077461134918
B,PRESENT,min,natural,2,bitwise,proposed,1.0607062804713188,1.0523866814240703
B,PRESENT,min,natural,4,bitwise,proposed,1.0195769975767937,1.0205058781175769
B,PRESENT,min,natural,8,bitwise,proposed,1.1954733589614854,1.193069517084728
B,PRESENT,min,natural,16,bitwise,proposed,1.179423010575848,1.1744540034602766
B,PRESENT,min,natural,32,bitwise,proposed,1.1634827817835192,1.1616826498341932
B,PRESENT,min,natural,64,bitwise,proposed,1.1787293746064167,1.1786313320916049
B,PRESENT,min,natural,1,peigen,proposed,0.30752405205083644,0.31358806915823606
B,PRESENT,spectrum,natural,1,bitwise,proposed,1.1437650509943036,1.1430626051434274
B,PRESENT,spectrum,natural,2,bitwise,proposed,1.0398090098739856,1.0290608704346056
B,PRESENT,spectrum,natural,4,bitwise,proposed,1.1483949781317875,1.1548881567061424
B,PRESENT,spectrum,natural,8,bitwise,proposed,1.1316050467144416,1.131647690090342
B,PRESENT,spectrum,natural,16,bitwise,proposed,1.133920697877658,1.1340062645444458
B,PRESENT,spectrum,natural,32,bitwise,proposed,1.13486951814395,1.1346464789174595
B,PRESENT,spectrum,natural,64,bitwise,proposed,1.1474091563027906,1.148127129951052
B,PRESENT,spectrum,natural,1,peigen,proposed,0.4780654223372032,0.48070122026074785
B,random_n08_00,max,natural,1,bitwise,proposed,3.15890660207036,3.100830116447949
B,random_n08_00,max,natural,2,bitwise,proposed,2.395804823283306,2.3471637368556544
B,random_n08_00,max,natural,4,bitwise,proposed,3.169419284398968,3.0128235117708804
B,random_n08_00,max,natural,8,bitwise,proposed,3.314681302116692,3.1998128734243427
B,random_n08_00,max,natural,16,bitwise,proposed,3.1334873542357293,3.045226336325684
B,random_n08_00,max,natural,32,bitwise,proposed,3.1906988476324383,3.092699684998894
B,random_n08_00,max,natural,64,bitwise,proposed,3.1890036646215,3.0913680779354604
B,random_n08_00,max,natural,1,peigen,proposed,8.624015670972216,8.429935398134333
B,random_n08_00,min,natural,1,bitwise,proposed,1.717445231790159,1.7029783803604734
B,random_n08_00,min,natural,2,bitwise,proposed,1.7133500426967536,1.7028830976387592
B,random_n08_00,min,natural,4,bitwise,proposed,1.806616902729884,1.7867880928427538
B,random_n08_00,min,natural,8,bitwise,proposed,1.6812552725460488,1.673901577853284
B,random_n08_00,min,natural,16,bitwise,proposed,1.7304123773694462,1.718959628081016
B,random_n08_00,min,natural,32,bitwise,proposed,1.7243427117378618,1.7085699317166152
B,random_n08_00,min,natural,64,bitwise,proposed,1.6926869163971263,1.6772784134809964
B,random_n08_00,min,natural,1,peigen,proposed,1.1883358485909812,1.1896033191491742
B,random_n08_00,spectrum,natural,1,bitwise,proposed,1.9276945001704184,1.8956967467974344
B,random_n08_00,spectrum,natural,2,bitwise,proposed,1.7793533475166128,1.7031658301930424
B,random_n08_00,spectrum,natural,4,bitwise,proposed,1.6703648520866128,1.6218338493346858
B,random_n08_00,spectrum,natural,8,bitwise,proposed,1.9070753346211047,1.8757359574503412
B,random_n08_00,spectrum,natural,16,bitwise,proposed,1.8950298452506023,1.8618624909441637
B,random_n08_00,spectrum,natural,32,bitwise,proposed,1.9251136364935155,1.8884712540045312
B,random_n08_00,spectrum,natural,64,bitwise,proposed,1.9215066329933699,1.8755419207275466
B,random_n08_00,spectrum,natural,1,peigen,proposed,2.756454480263598,2.7039907420788425
B,random_n08_01,max,natural,1,bitwise,proposed,3.3298875965269668,3.263771451771065
B,random_n08_01,max,natural,2,bitwise,proposed,3.0391823863922895,3.0100353110297586
B,random_n08_01,max,natural,4,bitwise,proposed,3.4752745807244416,3.3726982135436963
B,random_n08_01,max,natural,8,bitwise,proposed,3.358621812925424,3.297279298275765
B,random_n08_01,max,natural,16,bitwise,proposed,3.358394338206964,3.2847486540319877
B,random_n08_01,max,natural,32,bitwise,proposed,3.357714160655213,3.262553219043919
B,random_n08_01,max,natural,64,bitwise,proposed,3.3639904936584837,3.2589560672640077
B,random_n08_01,max,natural,1,peigen,proposed,9.278944610412697,9.060314612333366
B,random_n08_01,min,natural,1,bitwise,proposed,1.679195524372286,1.6703220014253584
B,random_n08_01,min,natural,2,bitwise,proposed,1.5842492382053168,1.5695945365580957
B,random_n08_01,min,natural,4,bitwise,proposed,1.5698597540730062,1.5558708759527107
B,random_n08_01,min,natural,8,bitwise,proposed,1.708323851352889,1.684406385002943
B,random_n08_01,min,natural,16,bitwise,proposed,1.70490240400712,1.6954278718833689
B,random_n08_01,min,natural,32,bitwise,proposed,1.6940455718172658,1.67877989513197
B,random_n08_01,min,natural,64,bitwise,proposed,1.6962888149969957,1.6887145772352468
B,random_n08_01,min,natural,1,peigen,proposed,1.1951483194973311,1.1940878805613042
B,random_n08_01,spectrum,natural,1,bitwise,proposed,1.8863514182123098,1.8511063814373354
B,random_n08_01,spectrum,natural,2,bitwise,proposed,1.933278647702471,1.8512311215937831
B,random_n08_01,spectrum,natural,4,bitwise,proposed,1.6645419322584676,1.6218996921674744
B,random_n08_01,spectrum,natural,8,bitwise,proposed,1.904736161279474,1.876182506226069
B,random_n08_01,spectrum,natural,16,bitwise,proposed,1.9068801156497686,1.861261075374557
B,random_n08_01,spectrum,natural,32,bitwise,proposed,1.8630292103944959,1.8267029185185344
B,random_n08_01,spectrum,natural,64,bitwise,proposed,1.9175959615638054,1.883249849839921
B,random_n08_01,spectrum,natural,1,peigen,proposed,2.7110457928115057,2.645088597229738
B,random_n12_00,max,natural,1,bitwise,proposed,11.51101155662255,8.91918571065462
B,random_n12_00,max,natural,2,bitwise,proposed,11.278774159312665,8.346221964415292
B,random_n12_00,max,natural,4,bitwise,proposed,11.174073416512593,8.66251611613268
B,random_n12_00,max,natural,8,bitwise,proposed,11.385679824224452,8.953034124247258
B,random_n12_00,max,natural,16,bitwise,proposed,10.91069631731149,8.573164455626715
B,random_n12_00,max,natural,32,bitwise,proposed,10.350073159972888,7.889802860609919
B,random_n12_00,max,natural,64,bitwise,proposed,10.163343283582089,7.721511980689377
