group,case,metric,profile,method,binary,threads,core_speedup,core_q1,core_q3,total_speedup,total_q1,total_q3
A,random_n12_00,spectrum,natural,reference-proposed,coam,2,1.5044930903270235,1.4902308315432142,1.5060159387771448,0.965279677824247,0.9599968604657816,0.9685827109755558
A,random_n12_00,spectrum,natural,reference-proposed,coam,4,2.808927875396133,2.737593036484938,2.8342359145036613,1.138507115933778,1.1268430227414845,1.147656571155821
A,random_n12_00,spectrum,natural,reference-proposed,coam,8,4.671751251173826,4.519217372386718,4.671811143729212,1.2298998358163056,1.2236210767651468,1.2406143675973103
A,random_n12_00,spectrum,natural,reference-proposed,coam,16,4.090166628544629,4.055447985754493,4.120842826202039,1.2319978741791935,1.2296355293082026,1.2342187914026104
A,random_n12_00,spectrum,natural,reference-proposed,coam,32,3.9797379814660694,2.1571944955253484,4.027329749460671,1.2523142692114226,1.0697629870836773,1.252535153719864
A,random_n12_00,spectrum,natural,reference-proposed,coam,64,3.920724910316669,3.8738840776530825,3.9526926657146277,1.183952805859337,1.1804316310265497,1.1878590285604658
A,random_n16_00,max,high,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n16_00,max,high,reference,coam,2,0.8702241730877325,0.8672622103328298,0.870716634845297,0.912922260807976,0.9084033205243625,0.914726746540976
A,random_n16_00,max,high,reference,coam,4,1.651035663788527,1.6459353233518583,1.65534050269363,1.4121453085483848,1.4062969721676941,1.4126346477183263
A,random_n16_00,max,high,reference,coam,8,3.2260529947992604,3.1935645106433226,3.237955819818744,1.9827756280969022,1.9799956723854484,1.9954440092889039
A,random_n16_00,max,high,reference,coam,16,5.720240100971173,5.651604989087897,5.72309907451533,2.420144443992735,2.4089811234638483,2.4321103022701287
A,random_n16_00,max,high,reference,coam,32,5.756166768668855,5.736517352252259,5.773692890006366,2.4042262992690997,2.3463685181084104,2.4149193569001266
A,random_n16_00,max,high,reference,coam,64,5.531693861889366,5.425110165540729,5.547278852018497,2.3676037511496664,2.3339187961656096,2.3807896320740185
A,random_n16_00,max,high,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n16_00,max,high,reference-proposed,coam,2,0.8288813077292486,0.7370496848214074,0.8520935872964345,1.0390986648637692,1.0377080191740262,1.0578992729411214
A,random_n16_00,max,high,reference-proposed,coam,4,1.0649582717325545,1.0630751192795629,1.0920011859356584,1.3210444624277933,1.3025797949653803,1.3280948397762433
A,random_n16_00,max,high,reference-proposed,coam,8,1.2318117682590168,1.203806548549004,1.2416238164843265,1.5543786956652963,1.5254518111423767,1.5564716639472975
A,random_n16_00,max,high,reference-proposed,coam,16,1.2535618447549743,1.240829381563561,1.3016952516699363,1.6632498400967604,1.626839176408824,1.6881042505314592
A,random_n16_00,max,high,reference-proposed,coam,32,1.319421210692214,1.308234090943694,1.323036054086519,1.6229954168441927,1.621598748860855,1.6554094686772491
A,random_n16_00,max,high,reference-proposed,coam,64,1.2228069852602912,1.197573375724923,1.250654062512229,1.605645455922683,1.5880929810078146,1.6260660346242224
A,random_n16_00,max,natural,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n16_00,max,natural,reference,coam,2,0.8670770041579857,0.8656386039959256,0.8792401406794793,0.9019118511257932,0.8959139529448124,0.928409712598609
A,random_n16_00,max,natural,reference,coam,4,1.652000554105286,1.6474981899946468,1.664228736199478,1.4140685853697172,1.4017104335139616,1.4422887151605626
A,random_n16_00,max,natural,reference,coam,8,3.253089998506008,3.2082877965607537,3.2737967738986353,1.9825692632625171,1.9455050064878865,2.023678477605348
A,random_n16_00,max,natural,reference,coam,16,5.880769323451607,5.83663302059374,5.938634599032499,2.3863691509200695,2.3813557287831957,2.459929036259356
A,random_n16_00,max,natural,reference,coam,32,5.82162626096057,5.799707116548923,5.916268487006153,2.42333496357047,2.334746061463169,2.4433926133362345
A,random_n16_00,max,natural,reference,coam,64,5.641765731840763,5.636267201146124,5.689757208707443,2.389090271070565,2.378613301984279,2.4129477399067767
A,random_n16_00,max,natural,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
